id,energy,danceability,liveness,valence,duration,acousticness,speechiness
201,95,36,37,51,211,9,48
202,75,72,13,50,229,4,4
203,57,69,11,73,257,2,5
204,79,60,36,61,259,4,4
205,70,77,6,79,227,1,3
206,74,53,24,45,186,0,4
207,83,67,16,58,230,10,7
208,34,51,12,7,250,23,3
209,84,71,21,66,207,16,3
210,78,65,12,45,274,13,6
211,26,42,13,33,270,92,3
212,42,42,11,18,173,59,4
213,86,60,14,74,223,2,3
214,82,65,9,96,233,22,18
215,76,,31,93,,4,4
216,80,65,33,94,219,6,17
217,59,65,17,35,216,0,5
218,78,55,8,46,255,3,4
219,71,74,6,88,,2,3
220,69,,32,94,,4,4
221,54,,10,24,,39,6
222,81,66,16,63,194,2,15
223,72,68,27,57,214,8,4
224,58,69,31,42,193,17,9
225,89,50,10,21,240,0,4
226,73,50,9,52,256,2,17
227,66,58,11,20,,11,3
228,72,78,7,71,246,13,4
229,78,,11,33,,31,4
230,95,49,33,44,202,0,13
231,72,91,5,38,200,9,7
232,65,76,31,76,178,3,23
233,54,72,10,64,244,45,4
234,49,44,11,25,251,13,4
235,75,56,21,50,229,46,3
236,62,70,16,72,193,8,25
237,93,72,8,74,225,17,6
238,64,69,15,80,204,2,5
239,92,71,27,98,232,0,4
240,62,76,9,52,241,1,18
241,92,79,8,66,184,1,25
242,44,41,31,17,,3,29
243,67,72,11,84,215,9,7
244,92,62,12,57,233,1,4
245,74,60,9,46,,11,4
246,66,50,27,25,,3,4
247,71,47,16,22,252,8,3
248,81,69,14,82,207,12,7
249,77,35,12,4,191,6,5
250,15,45,9,9,229,87,3
251,68,55,21,16,268,1,3
252,80,93,10,90,202,27,8
253,78,29,7,62,216,2,7
254,79,,31,21,,17,26
255,94,60,10,55,222,0,7
256,14,41,9,23,190,97,4
257,62,59,18,40,323,1,5
258,60,96,21,65,260,7,18
259,81,68,34,64,169,7,6
260,82,,35,61,,18,4
261,34,68,9,56,160,84,3
262,35,53,14,19,239,28,3
263,58,63,38,56,224,28,7
264,50,,11,39,,15,4
265,82,56,19,57,215,2,5
266,54,64,25,53,230,10,11
267,73,,12,59,,45,42
268,73,59,38,46,266,27,6
269,45,78,18,59,282,47,3
270,49,68,8,49,239,53,4
271,56,58,14,14,242,7,5
272,38,61,28,52,,84,44
273,61,86,3,93,270,1,8
274,66,57,12,44,242,63,5
275,79,75,9,88,,6,3
276,76,65,30,41,201,8,5
277,27,58,13,35,188,88,5
278,61,26,13,28,253,25,5
279,38,66,10,44,252,39,3
280,57,85,8,79,206,59,10
281,75,75,5,76,207,2,7
282,68,,11,66,,1,6
283,70,69,13,74,192,2,5
284,51,83,8,45,208,1,4
285,52,67,12,37,227,86,4
286,87,74,39,34,213,4,7
287,73,58,27,28,213,0,5
288,71,47,8,24,236,1,3
289,74,28,59,33,231,0,9
290,86,41,34,35,213,3,8
291,77,88,12,59,225,6,9
292,70,69,20,28,215,1,5
293,61,,64,85,,1,7
294,79,42,15,50,257,1,5
295,59,80,19,55,,16,4
296,45,48,9,29,295,34,3
297,78,66,32,83,184,38,19
298,71,75,13,56,214,1,13
299,79,62,14,62,227,5,4
300,73,60,33,53,193,24,15
301,80,63,14,91,218,21,16
302,80,,8,43,,13,6
303,67,82,6,94,235,30,5
304,71,68,44,45,222,1,8
305,73,71,19,85,202,12,9
306,61,,29,71,,9,7
307,89,,33,31,,10,8
308,80,,6,48,,1,5
309,85,69,10,64,224,2,3
310,70,63,10,64,217,56,24
311,85,,48,8,,1,8
312,59,67,21,44,229,2,3
313,85,,14,37,,1,6
314,83,78,11,95,183,5,5
315,61,36,18,8,200,5,10
316,82,38,8,33,199,8,10
317,85,59,27,34,235,7,4
318,94,69,5,79,235,9,6
319,94,68,12,65,230,18,6
320,81,53,10,21,245,8,6
321,81,62,22,60,205,1,4
322,87,,5,74,,1,11
323,79,75,9,88,235,6,3
324,88,67,44,79,211,27,24
325,88,,11,96,,5,5
326,71,70,9,74,213,26,5
327,67,79,28,85,198,21,4
328,67,63,10,29,233,5,5
329,95,71,26,40,210,0,5
330,36,77,10,76,204,79,4
331,26,38,17,52,134,88,3
332,75,67,19,48,242,14,4
333,75,39,33,48,,5,9
334,75,71,38,73,199,27,9
335,70,,7,60,,2,3
336,76,51,11,44,264,25,5
337,82,64,16,64,219,2,6
338,78,74,32,86,199,2,7
339,89,76,62,78,189,2,3
340,48,69,6,28,230,37,8
341,75,52,24,35,210,4,6
342,60,47,9,4,292,33,5
343,82,65,12,40,230,6,8
344,55,,12,9,,4,4
345,87,60,10,59,193,5,8
346,59,48,6,27,309,20,5
347,79,67,25,39,219,4,9
348,55,69,10,26,203,1,3
349,82,57,16,66,211,6,3
350,76,,14,52,,0,4
351,85,68,6,93,193,1,6
352,67,64,8,8,285,43,4
353,43,26,11,9,225,75,3
354,78,57,33,28,243,2,3
355,80,72,69,72,229,9,6
356,88,85,10,79,186,4,6
357,78,80,4,83,196,1,18
358,84,62,8,39,224,2,8
359,80,88,20,54,202,8,6
360,37,28,11,8,273,45,4
361,90,72,6,88,238,1,13
362,53,90,8,65,255,0,5
363,39,48,26,27,193,2,9
364,56,58,14,14,242,7,5
365,38,61,28,52,234,84,44
366,75,77,4,90,219,15,5
367,87,53,14,42,208,16,17
368,52,50,45,17,196,11,4
369,73,62,14,37,244,2,11
370,93,63,15,47,222,20,3
371,42,67,11,15,205,49,4
372,31,67,8,30,,11,24
373,47,77,39,34,237,29,5
374,83,67,19,70,236,1,7
375,59,80,6,59,214,10,4
376,74,,11,45,,3,13
377,53,63,18,42,225,40,4
378,53,73,9,56,,8,9
379,75,75,5,76,207,2,7
380,67,,16,38,,2,10
381,71,66,8,69,,4,11
382,60,66,36,29,236,5,4
383,62,73,11,51,182,38,6
384,75,77,11,80,246,2,9
385,80,61,26,52,218,1,5
386,75,59,9,34,206,0,7
387,65,79,10,39,263,5,10
388,80,71,31,34,227,4,6
389,80,,16,50,,7,4
390,69,,48,84,,10,10
391,88,75,23,75,166,4,7
392,68,76,7,82,218,5,23
393,62,65,14,40,,25,8
394,79,55,47,82,232,12,13
